Start,Month,Energy,Month_Name,Month-Year
2018,4,329.0,April,April-2018
2018,5,454.0,May,May-2018
2018,6,518.0,June,June-2018
2018,7,532.0,July,July-2018
2018,8,619.0,August,August-2018
2018,9,629.0,September,September-2018
2018,10,986.0,October,October-2018
2018,11,661.0,November,November-2018
2018,12,491.0,December,December-2018
2019,1,638.0,January,January-2019
2019,2,676.0,February,February-2019
2019,3,639.0,March,March-2019
2019,4,726.0,April,April-2019
2019,5,707.0,May,May-2019
2019,6,522.0,June,June-2019
2019,7,638.0,July,July-2019
2019,8,688.0,August,August-2019
2019,9,689.0,September,September-2019
2019,10,748.0,October,October-2019
2019,11,648.0,November,November-2019
2019,12,514.0,December,December-2019
2020,1,650.0,January,January-2020
2020,2,629.0,February,February-2020
2020,3,336.0,March,March-2020
2020,4,19.0,April,April-2020
2020,5,102.0,May,May-2020
2020,6,142.0,June,June-2020
2020,7,175.0,July,July-2020
2020,8,10.0,August,August-2020
2020,9,4.0,September,September-2020
2020,10,8.0,October,October-2020
2020,11,60.0,November,November-2020
2020,12,145.0,December,December-2020
2021,1,176.0,January,January-2021
2021,2,207.0,February,February-2021
2021,3,240.0,March,March-2021
2021,4,233.0,April,April-2021
